日付,"体重 (kg)","体脂肪 (kg)","骨量 (kg)","筋肉量 (kg)","体水分率 (kg)"
"2024-02-20 07:36:34",73.08,12.60,3.20,57.28,44.40
"2024-02-16 05:42:31",73.56,13.60,3.20,56.76,43.40
"2024-02-13 06:02:29",74.10,13.80,3.20,57.09,43.80
"2024-02-10 06:44:42",73.17,13.40,3.20,56.57,43.40
"2024-02-09 07:31:56",72.94,13.80,3.20,55.94,42.60
"2024-02-08 07:06:34",73.07,13.60,3.20,56.27,43.00
"2024-02-07 05:31:17",72.44,13.60,3.20,55.64,42.40
"2024-02-04 07:20:15",72.85,13.60,3.20,56.04,42.80
"2024-02-01 07:11:37",72.81,13.20,3.20,56.41,43.40
"2024-01-29 07:00:25",73.31,13.60,3.20,56.51,43.20
"2024-01-22 07:11:27",73.59,13.60,3.20,56.79,43.60
"2024-01-19 08:11:43",72.97,14.00,3.20,55.77,42.40
"2024-01-18 05:01:07",73.69,13.80,3.20,56.69,43.20
"2024-01-17 04:59:55",73.58,13.40,3.20,56.97,43.80
"2024-01-16 06:59:15",73.33,13.60,3.20,56.52,43.20
"2024-01-15 06:44:06",74.49,13.80,3.20,57.48,44.20
"2024-01-14 07:50:58",73.40,14.00,3.20,56.19,42.80
"2024-01-13 07:16:18",73.11,13.80,3.20,56.10,42.80
"2024-01-12 08:02:02",72.62,13.40,3.20,56.01,42.80
"2024-01-11 07:07:37",73.33,13.40,3.20,56.72,43.40
"2024-01-10 05:50:54",73.57,14.20,3.20,56.17,42.60
"2024-01-09 07:43:18",73.51,14.00,3.20,56.31,43.00
"2024-01-08 06:50:46",74.03,13.80,3.20,57.02,43.80
"2024-01-07 07:23:07",73.18,14.00,3.20,55.97,42.60
"2024-01-06 07:31:22",72.84,14.00,3.20,55.63,42.20
"2024-01-05 07:53:22",72.99,13.80,3.20,55.99,42.60
"2024-01-04 04:56:57",74.71,13.80,3.20,57.70,44.20
"2024-01-03 05:10:09",73.41,13.60,3.20,56.61,43.20
"2024-01-02 07:38:04",74.33,14.20,3.20,56.93,43.40
"2024-01-01 07:32:29",73.60,13.80,3.20,56.60,43.40
"2023-12-15 06:24:51",73.15,13.00,3.20,56.95,43.80
"2023-12-06 07:44:18",72.16,13.20,3.20,55.75,42.40
"2023-12-05 06:55:40",73.05,13.20,3.20,56.64,43.40
"2023-11-15 07:42:22",72.34,12.80,3.20,56.34,43.40
"2023-11-11 07:34:37",71.47,12.80,3.20,55.46,42.20
"2023-11-10 07:00:06",71.13,11.80,3.20,56.12,43.20
"2023-11-08 06:40:09",71.31,12.00,3.20,56.11,43.20
"2023-10-24 06:13:28",71.11,12.00,3.20,55.91,43.00
"2023-10-10 06:35:50",69.95,12.00,3.00,54.95,41.80
"2023-10-09 07:40:23",69.67,12.20,3.00,54.47,41.20
"2023-10-06 06:28:43",69.40,11.60,3.00,54.80,41.80
"2023-09-23 07:09:33",69.29,11.20,3.00,55.08,42.20
"2023-09-21 07:54:52",69.23,11.00,3.00,55.23,42.40
"2023-09-20 06:47:27",68.78,11.20,3.00,54.58,41.60
"2023-08-30 04:44:53",68.00,10.60,3.00,54.40,41.80
"2023-08-29 04:21:09",68.70,10.20,3.20,55.29,43.20
"2023-08-24 06:41:17",67.47,10.60,3.00,53.87,41.20
"2023-08-20 06:38:19",67.26,10.20,3.00,54.05,41.60
"2023-08-15 06:58:48",67.24,10.00,3.00,54.23,42.00
"2023-08-08 05:47:59",67.42,10.00,3.00,54.42,42.20
"2023-08-06 08:34:47",67.09,10.40,3.00,53.69,41.20
"2023-08-04 05:28:32",66.94,10.60,3.00,53.34,40.59
"2023-08-03 05:47:18",67.78,10.20,3.00,54.57,42.20
"2023-08-01 07:28:43",68.46,10.40,3.20,54.85,42.60
"2023-07-31 07:52:59",67.09,10.00,3.00,54.08,41.60
"2023-07-29 09:44:56",66.69,10.20,3.00,53.48,40.80
"2023-07-27 05:30:39",67.16,10.20,3.00,53.95,41.40
